Municipio,Latitude,Longitude
ARAÇATUBA,-21.207992,-50.4390225
ADAMANTINA,-21.6866517,-51.0762975
ALTO ALEGRE,-21.5820592,-50.1661976
ARCO-ÍRIS,-21.7690152,-50.42671589354839
BENTO DE ABREU,-21.2715723,-50.8117225
BASTOS,-21.9222474,-50.7317727
BILAC,-21.403962,-50.47464
BORÁ,-22.2703347,-50.5442675
BRAÚNA,-21.5015319,-50.3175246
CAIABU,-22.0143038,-51.2356597
CLEMENTINA,-21.5594631,-50.448624
COROADOS,-21.3554634,-50.2853589
FLÓRIDA PAULISTA,-21.614061,-51.1729548
GABRIEL MONTEIRO,-21.5299436,-50.5533059
GLICÉRIO,-21.3814805,-50.2100452
GUARARAPES,-21.2542739,-50.6440083
HERCULÂNDIA,-22.004508,-50.3862746
INDIANA,-22.1748508,-51.2534615
INÚBIA PAULISTA,-21.7701831,-50.9616718
JOÃO RAMALHO,-22.2486157,-50.7677114
MARTINÓPOLIS,-22.146153,-51.170949
LUCÉLIA,-21.7211293,-51.0188
LUIZIÂNIA,-21.6763356,-50.3269863
MARIÁPOLIS,-21.7966708,-51.1831475
MARÍLIA,-22.2172002,-49.9500061
ORIENTE,-22.1525442,-50.0935645
PARAGUAÇU PAULISTA,-22.4203497,-50.5792099
PARAPUÃ,-21.781309,-50.7922396
OSVALDO CRUZ,-21.7962773,-50.879119
PACAEMBU,-21.566243,-51.2633114
PIACATU,-21.5901744,-50.5972241
PRESIDENTE PRUDENTE,-22.1225167,-51.3882528
REGENTE FEIJÓ,-22.2191056,-51.3034558
POMPÉIA,-22.1088293,-50.1720753
PRACINHA,-21.8537103,-51.0862052
QUATÁ,-22.2470977,-50.7003624
QUEIROZ,-21.7991405,-50.2392786
QUINTANA,-22.0705513,-50.308652
RANCHARIA,-22.2294981,-50.8922333
RINÓPOLIS,-21.728308,-50.7226134
RUBIÁCEA,-21.2996334,-50.7298698
SAGRES,-21.8840628,-50.9574608
SALMOURÃO,-21.625096,-50.8605656
SANTO EXPEDITO,-21.8508736,-51.3925315
SANTÓPOLIS DO AGUAPEÍ,-21.6379556,-50.5008527
TACIBA,-22.3893943,-51.2888486
TUPÃ,-21.9349129,-50.5141255
VALPARAÍSO,-21.2230369,-50.8666375
